Registry Number,Business Name,Entity Type,Registry Date,Associated Name Type,First Name,Middle Name,Last Name,Suffix,Not of Record Entity,Entity of Record Reg Number,Entity of Record Name,Address ,Address Continued,City,State,Zip Code
153154399,BARAN AUTOMOTIVE RESTORATION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,11549 SW DAVIES RD APT 2603,,BEAVERTON,OR,97007
153154399,BARAN AUTOMOTIVE RESTORATION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,11549 SW DAVIES RD APT 2603,,BEAVERTON,OR,97007
153154399,BARAN AUTOMOTIVE RESTORATION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,SALEH,,BARAN,,,,,11549 SW DAVIES RD APT 2603,,BEAVERTON,OR,97007
153173498,BAREMINERALS,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,,,,,,53104890,SHISEIDO AMERICAS CORPORATION,"301 ROUTE 17 N, 10TH FL",,RUTHERFORD,NJ,7070
153173498,BAREMINERALS,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,,,,,,53104890,SHISEIDO INTERNATIONAL CORPORATION,"301 ROUTE 17 N, 10TH FL",,RUTHERFORD,NJ,7070
153173498,BAREMINERALS,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,"301 ROUTE 17 N, 10TH FL",,RUTHERFORD,NJ,7070
153160891,BREHM BREWING COMPANY LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,4002 DRY CREEK ROAD,,MEDFORD,OR,97501
153160891,BREHM BREWING COMPANY LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,4002 DRY CREEK ROAD,,MEDFORD,OR,97501
153160891,BREHM BREWING COMPANY LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,JASON,,BREHM,,,,,4002 DRY CREEK ROAD,,MEDFORD,OR,97501
153176897,"BRIDGE DEVELOPMENT SERVICES OF WASHINGTON, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,1000 W IRVING PARK RD STE 150,,ITASCA,IL,60143
153176897,"BRIDGE DEVELOPMENT SERVICES OF WASHINGTON, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1000 W IRVING PARK RD STE 150,,ITASCA,IL,60143
153176897,"BRIDGE DEVELOPMENT SERVICES OF WASHINGTON, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,56822381,COGENCY GLOBAL INC.,325 13TH ST NE STE 404,,SALEM,OR,97301
153176897,"BRIDGE DEVELOPMENT SERVICES OF WASHINGTON, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,56822381,"NATIONAL CORPORATE RESEARCH, LTD.",325 13TH ST NE STE 404,,SALEM,OR,97301
153175691,BYERS FARMS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,1906 CHELAN ST NE,,KEIZER,OR,97303
153175691,BYERS FARMS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1906 CHELAN ST NE,,KEIZER,OR,97303
153175691,BYERS FARMS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,CRAIG,A,HOCHSTETLER,,,,,1906 CHELAN ST NE,,KEIZER,OR,97303
153158697,CIELO VILLAS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,PO BOX 566,,LA MESA,CA,91944
153158697,CIELO VILLAS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,160 S JOHNSON AVE,,EL CAJON,CA,92020
153158697,CIELO VILLAS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,878298,"PACIFIC REGISTERED AGENTS, INC.",942 WINDEMERE DR NW,,SALEM,OR,97304
152163193,"CONNECTIONS SPEECH & LANGUAGE, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,61149 S HWY 97,PMB 630,BEND,OR,97702
152163193,"CONNECTIONS SPEECH & LANGUAGE, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,2736 NW CROSSING DR STE 120,,BEND,OR,97703
152163193,"CONNECTIONS SPEECH & LANGUAGE, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,JEROD,,MICHAEL,,,,,2736 NW CROSSING DR STE 120,,BEND,OR,97703
153176392,CRUDEN PRODUCTIONS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,2331 HIGHGATE ST APT 3,,MEDFORD,OR,97501
153176392,CRUDEN PRODUCTIONS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,2331 HIGHGATE ST APT 3,,MEDFORD,OR,97501
153176392,CRUDEN PRODUCTIONS LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,WENDY,,GRIFFIN,,,,,2331 HIGHGATE ST APT 3,,MEDFORD,OR,97501
152855897,DARREL FRIESEN FENCING L.L.C.,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,429 N DEWEY,,UNION,OR,97883
152855897,DARREL FRIESEN FENCING L.L.C.,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,DARREL,,FRIESEN,,,,,429 N DEWEY,,UNION,OR,97883
153175998,"DRAKE'S STRIPING & PAINTING, INC",FOREIGN BUSINESS CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,12207 NE 99TH AVE,,VANCOUVER,WA,98662
153175998,"DRAKE'S STRIPING & PAINTING, INC",FOREIGN BUSINESS CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,12207 NE 99TH AVE,,VANCOUVER,WA,98662
153175998,"DRAKE'S STRIPING & PAINTING, INC",FOREIGN BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,75788399,REGISTERED AGENTS INC,5305 RIVER RD N STE B,,KEIZER,OR,97303
153175998,"DRAKE'S STRIPING & PAINTING, INC",FOREIGN BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,75788399,"REGISTERED AGENTS INC, A CORPORATION OF WYOMING",5305 RIVER RD N STE B,,KEIZER,OR,97303
153168498,EPHARMACIST DIRECT,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,MITCH,,MELFI,,,,,4816 AMBER VALLEY PKWY,,FARGO,ND,58104
153168498,EPHARMACIST DIRECT,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,4816 AMBER VALLEY PKWY,,FARGO,ND,58104
153149795,"ERI SOLUTIONS, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,125 N FIRST ST,,COLWICH,KS,67030
153149795,"ERI SOLUTIONS, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,125 N FIRST ST,,COLWICH,KS,67030
153149795,"ERI SOLUTIONS, LLC",FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,28795,"UNITED CORPORATE SERVICES, INC.",8130 SW BEAVERTON-HILLSDALE HWY,,PORTLAND,OR,97225
153164893,ETA MINISTRIES,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,BRYSON,,KAMPSTRA,,,,,250 MEADOW SLOPE DR,,TALENT,OR,97540
153164893,ETA MINISTRIES,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,250 MEADOW SLOPE DR,,TALENT,OR,97540
153153094,"EVERGREEN HILLS PROPERTIES, L.L.C.",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,854 JANNETTE CT,,SPRINGFIELD,OR,97477
153153094,"EVERGREEN HILLS PROPERTIES, L.L.C.",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,854 JANNETTE CT,,SPRINGFIELD,OR,97477
153153094,"EVERGREEN HILLS PROPERTIES, L.L.C.",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,VARNER,JAY,JOHNS,III,,,,777 HIGH ST STE 300,,EUGENE,OR,97401
153153292,"EVERGREEN HILLS, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,854 JANNETTE CT,,SPRINGFIELD,OR,97477
153153292,"EVERGREEN HILLS, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,854 JANNETTE CT,,SPRINGFIELD,OR,97477
153153292,"EVERGREEN HILLS, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,VARNER,JAY,JOHNS,III,,,,777 HIGH ST STE 300,,EUGENE,OR,97401
153166799,FLYING FLOUR CUSTOM COOKIES,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,SUSAN,L.,KENDALL,,,,,4180 VERDA LANE NE,,KEIZER,OR,97303
153166799,FLYING FLOUR CUSTOM COOKIES,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,4180 VERDA LANE NE,,KEIZER,OR,97303
153158390,FUEGO TACOS,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,ALEJANDRO,,SANCHEZ CORIA,,,,,240 KIMERON ST SE,,SALEM,OR,97306
153158390,FUEGO TACOS,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,240 KIMERON ST SE,,SALEM,OR,97306
153168894,"FXG DAVCOR, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,3383 CROISAN CREEK RD S,,SALEM,OR,97302
153168894,"FXG DAVCOR, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,2035 DAVCOR ST,,SALEM,OR,97302
153168894,"FXG DAVCOR, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,FRANCIS,,GRANEY,,,,,3383 CROISAN CREEK RD S,,SALEM,OR,97302
153154993,G & K CREATIONS INC.,DOMESTIC BUSINESS CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,PO BOX 3172,,CLACKAMAS,OR,97015
153154993,G & K CREATIONS INC.,DOMESTIC BUSINESS CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,17271 S POTTER RD,,OREGON CITY,OR,97045
153154993,G & K CREATIONS INC.,DOMESTIC BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,KATHERINE,M,SMITH,,,,,17271 S POTTER RD,,OREGON CITY,OR,97045
153172896,GARDENIAS LANDCARE SERVICES,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,JESUS,ENRIQUE,BRAVO,,,,,28900 SW PARKWAY AVE #19,,WILSONVILLE,OR,97070
153172896,GARDENIAS LANDCARE SERVICES,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,28900 SW PARKWAY AVE #19,,WILSONVILLE,OR,97070
153172995,"GEM-CAST CONCRETE CONSTRUCTION, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,760 SW KIRKLEE ST,,DALLAS,OR,97338
153172995,"GEM-CAST CONCRETE CONSTRUCTION, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,760 SW KIRKLEE ST,,DALLAS,OR,97338
153172995,"GEM-CAST CONCRETE CONSTRUCTION, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,JACOB,N.,HAWKINS,,,,,760 SW KIRKLEE ST,,DALLAS,OR,97338
153149993,"GIG HARBOR PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,851 SW SIXTH AVE STE 1500,,PORTLAND,OR,97204
153149993,"GIG HARBOR PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1130 NW 22ND AVE STE 640,,PORTLAND,OR,97210
153149993,"GIG HARBOR PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,ROBERT,K,WINGER,,,,,851 SW SIXTH AVE STE 1500,,PORTLAND,OR,97204
153150298,GIGASPHERE INTERNATIONAL LLC,FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,PO BOX 6339,,MARIETTA,GA,30065
153150298,GIGASPHERE INTERNATIONAL LLC,FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,350 FRANKLIN GATEWAY STE 300,,MARIETTA,GA,30067
153150298,GIGASPHERE INTERNATIONAL LLC,FOREIGN LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,15872088,CORPORATION SERVICE COMPANY,1127 BROADWAY ST NE STE 310,,SALEM,OR,97301
153151296,"GILLIAN SALTON, MD, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,360 SW BOND ST STE 400,,BEND,OR,97702
153151296,"GILLIAN SALTON, MD, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,2500 NEFF RD,,BEND,OR,97701
153151296,"GILLIAN SALTON, MD, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,REGISTERED AGENT,JENNILYN,K,ASTON,,,,,360 SW BOND ST STE 400,,BEND,OR,97702
153151197,"GOLDEN ANNEX, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,201 N PACIFIC HWY,,TALENT,OR,97540
153151197,"GOLDEN ANNEX, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,104 NEW ST,,TALENT,OR,97540
153151197,"GOLDEN ANNEX, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,GEORGE,B,HEILIG,,,,,310 NW SEVENTH ST STE 100,,CORVALLIS,OR,97330
153148490,"GOLDEN CAT, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,851 SW SIXTH AVE STE 1500,,PORTLAND,OR,97204
153148490,"GOLDEN CAT, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,3106 NE 67TH AVE,,PORTLAND,OR,97213
153148490,"GOLDEN CAT, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,104765797,"DCA ADMINISTRATIVE SERVICES, LLC",851 SW SIXTH AVE STE 1500,,PORTLAND,OR,97204
153148797,HAWTHORNE 28 CONDOMINIUMS OWNERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,122517196,"HAWTHORNE 28 COURT, LLC",ATTN: STEVE T. EDELMAN,16869 SW 65TH AVE STE 115,LAKE OSWEGO,OR,97035
153148797,HAWTHORNE 28 CONDOMINIUMS OWNERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,122517196,"HAWTHORNE 28 COURT, LLC",16869 SW 65TH AVE STE 115,,LAKE OSWEGO,OR,97035
153179297,"INTEGRATED MANAGEMENT SERVICES, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,280 BRINK CT SE,,SALEM,OR,97305
153179297,"INTEGRATED MANAGEMENT SERVICES, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,280 BRINK CT SE,,SALEM,OR,97305
153179297,"INTEGRATED MANAGEMENT SERVICES, INC.",DOMESTIC BUSINESS CORPORATION,03/01/2019,REGISTERED AGENT,ERIN,,WAKEFIELD,,,,,280 BRINK CT SE,,SALEM,OR,97305
153170791,K.P.D. INSURANCE RISK SOLUTIONS,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,KENNETH,A,PRICE,,,,,PO BOX 784,,SPRINGFIELD,OR,97477
153170791,K.P.D. INSURANCE RISK SOLUTIONS,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1111 GATEWAY LP,,SPRINGFIELD,OR,97477
153162996,LAS MUCHACHAS,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,RAEL,,CARRASCO,,,,,3940 IBEX ST NE,,SALEM,OR,97305
153162996,LAS MUCHACHAS,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,3704 SILVERTON RD NE,,SALEM,OR,97305
153163994,"LOS RANCHITOS TAQUERIA #2, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,1609 SE 148TH AVE,,PORTLAND,OR,97233
153163994,"LOS RANCHITOS TAQUERIA #2, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,48 NE DIVISION ST,,GRESHAM,OR,97030
153163994,"LOS RANCHITOS TAQUERIA #2, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,ALEXIS,,VASQUEZ MEDINA,,,,,1609 SE 148TH AVE,,PORTLAND,OR,97233
153149399,"MEIGS FAMILY PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,3633 SE TENINO RD,,PORTLAND,OR,97202
153149399,"MEIGS FAMILY PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,3550 SW BOND AVE #1808,,PORTLAND,OR,97239
153149399,"MEIGS FAMILY PROPERTIES, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,PATRICK,R,MEIGS,,,,,3633 SE TENINO RD,,PORTLAND,OR,97202
151693992,"MENTIS LAW GROUP, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,3730 NW HARRISON BLVD,,CORVALLIS,OR,97330
151693992,"MENTIS LAW GROUP, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,3730 NW HARRISON BLVD,,CORVALLIS,OR,97330
151693992,"MENTIS LAW GROUP, PC",DOMESTIC PROFESSIONAL CORPORATION,03/01/2019,REGISTERED AGENT,DIANE,,MANCINELLI,,,,,3730 NW HARRISON BLVD,,CORVALLIS,OR,97330
153167599,MONKEY WRENCH CONSTRUCTION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,13623 SW HILLSHIRE DR,,TIGARD,OR,97223
153167599,MONKEY WRENCH CONSTRUCTION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,13623 SW HILLSHIRE DR,,TIGARD,OR,97223
153167599,MONKEY WRENCH CONSTRUCTION LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,MEG,S.,WASSERBURGER,,,,,13623 SW HILLSHIRE DR,,TIGARD,OR,97223
153150793,"MORDHORST, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,6030 BETHEL HEIGHTS RD NW,,SALEM,OR,97304
153150793,"MORDHORST, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,1313 MILL ST SE,,SALEM,OR,97301
153150793,"MORDHORST, LLC",DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,BELINDA,,MORDHORST,,,,,6030 BETHEL HEIGHTS RD NW,,SALEM,OR,97304
153155396,MORRISON PARTITION HOMEOWNERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,03/01/2019,MAILING ADDRESS,,,,,,,,9933 SW MORRISON ST,,PORTLAND,OR,97225
153155396,MORRISON PARTITION HOMEOWNERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,9933 SW MORRISON ST,,PORTLAND,OR,97225
153155396,MORRISON PARTITION HOMEOWNERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,03/01/2019,REGISTERED AGENT,,,,,,97129994,"WESTWOOD CAPITAL, LLC",9933 SW MORRISON ST,,PORTLAND,OR,97225
153177291,MOTHER CULTURE LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,33809 SE EASTGATE CIRCLE,,CORVALLIS,OR,97333
153177291,MOTHER CULTURE LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,33809 SE EASTGATE CIRCLE,,CORVALLIS,OR,97333
153177291,MOTHER CULTURE LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,TUULA,,PERRY,,,,,33809 SE EASTGATE CIRCLE,,CORVALLIS,OR,97333
153175899,MOUNT TABOR MUSIC SCHOOL LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,4110 SE HAWTHORNE BLVD,,PORTLAND,OR,97214
153175899,MOUNT TABOR MUSIC SCHOOL LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,4110 SE HAWTHORNE BLVD,,PORTLAND,OR,97214
153175899,MOUNT TABOR MUSIC SCHOOL LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,SARAH,,COLLINS,,,,,4110 SE HAWTHORNE BLVD,,PORTLAND,OR,97214
153149894,NWSP RIVER FRONTIER MANAGER LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,MAILING ADDRESS,,,,,,,,ATTN: KYLE D. WUEPPER,15 SW COLORADO AVE STE 3,BEND,OR,97702
153149894,NWSP RIVER FRONTIER MANAGER LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,240 SE 2ND AVE,,PORTLAND,OR,97214
153149894,NWSP RIVER FRONTIER MANAGER LLC,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2019,REGISTERED AGENT,,,,,,113753594,BRIX LAW SERVICE COMPANY LLC,ATTN: KYLE D. WUEPPER,15 SW COLORADO AVE STE 3,BEND,OR,97702
153158895,OAKWAY PUB,ASSUMED BUSINESS NAME,03/01/2019,AUTHORIZED REPRESENTATIVE,JON,J,NAPIER,,,,,360 SW BOND ST STE 400,,BEND,OR,97702
153158895,OAKWAY PUB,ASSUMED BUSINESS NAME,03/01/2019,PRINCIPAL PLACE OF BUSINESS,,,,,,,,329 OAKWAY RD,,EUGENE,OR,97401
